, time , Madrid_wind_speed , Valencia_wind_deg , Bilbao_rain_1h , Valencia_wind_speed , Seville_humidity , Madrid_humidity , Bilbao_clouds_all , Bilbao_wind_speed , Seville_clouds_all , Bilbao_wind_deg , Barcelona_wind_speed , Barcelona_wind_deg , Madrid_clouds_all , Seville_wind_speed , Barcelona_rain_1h , Seville_pressure , Seville_rain_1h , Bilbao_snow_3h , Barcelona_pressure , Seville_rain_3h , Madrid_rain_1h , Barcelona_rain_3h , Valencia_snow_3h , Madrid_weather_id , Barcelona_weather_id , Bilbao_pressure , Seville_weather_id , Valencia_pressure , Seville_temp_max , Madrid_pressure , Valencia_temp_max , Valencia_temp , Bilbao_weather_id , Seville_temp , Valencia_humidity , Valencia_temp_min , Barcelona_temp_max , Madrid_temp_max , Barcelona_temp , Bilbao_temp_min , Bilbao_temp , Barcelona_temp_min , Bilbao_temp_max , Seville_temp_min , Madrid_temp , Madrid_temp_min , load_shortfall_3h 
 25.00 , 42 008.25 , 1.00 , level_9 , 0.20 , 1.67 , 86.00 , 65.00 , 66.67 , 1.00 , -   , 225.00 , 1.33 , 217.33 , -   , 3.67 , -   , sp25 , -   , -   , 1 027.00 , -   , -   , -   , -   , 800.00 , 800.00 , 1 036.00 , 800.00 , 1 002.33 , 278.16 , 973.00 , 275.77 , 275.77 , 601.00 , 278.16 , 74.67 , 275.77 , 283.96 , 268.48 , 283.96 , 274.81 , 274.81 , 283.96 , 274.81 , 278.16 , 268.48 , 268.48 , 1 281.33 
 26.00 , 42 008.38 , 1.00 , level_9 , 0.30 , 1.00 , 84.00 , 70.00 , 88.67 , 1.00 , -   , 207.67 , 1.00 , 187.33 , -   , 3.00 , -   , sp25 , -   , -   , 1 027.67 , -   , -   , -   , -   , 800.00 , 800.00 , 1 036.00 , 800.00 , 1 003.00 , 278.76 , 973.00 , 277.76 , 277.76 , 500.00 , 278.76 , 74.00 , 277.76 , 287.12 , 271.39 , 287.12 , 277.93 , 277.93 , 287.12 , 277.93 , 278.76 , 271.39 , 271.39 , 5 200.00 
 27.00 , 42 008.50 , 1.00 , level_8 , 0.30 , 1.00 , 80.33 , 63.33 , 90.67 , 1.00 , -   , 200.00 , 1.67 , 169.00 , -   , 1.67 , -   , sp25 , -   , -   , 1 027.67 , -   , -   , -   , -   , 800.00 , 800.00 , 1 035.33 , 800.00 , 1 002.00 , 287.36 , 982.00 , 289.06 , 289.06 , 500.00 , 287.36 , 56.33 , 289.06 , 289.36 , 284.55 , 289.36 , 280.96 , 280.96 , 289.36 , 280.96 , 287.36 , 284.55 , 284.55 , 5 179.33 
 28.00 , 42 008.63 , 1.00 , level_6 , 0.30 , 1.00 , 74.00 , 62.00 , 76.67 , 1.00 , -   , 197.00 , 0.33 , 142.33 , -   , 1.00 , -   , sp25 , -   , -   , 1 026.00 , -   , -   , -   , -   , 800.00 , 801.00 , 1 034.67 , 800.00 , 1 001.00 , 288.43 , 970.00 , 288.21 , 288.21 , 500.00 , 288.43 , 61.33 , 288.21 , 289.01 , 285.23 , 289.01 , 281.57 , 281.57 , 289.01 , 281.57 , 288.43 , 285.23 , 285.23 , 4 187.33 
 29.00 , 42 008.75 , 1.00 , level_4 , 0.30 , 1.33 , 81.33 , 75.00 , 50.33 , 0.33 , -   , 184.33 , 1.00 , 168.33 , -   , 1.00 , -   , sp25 , -   , -   , 1 027.33 , -   , -   , -   , -   , 800.00 , 800.33 , 1 034.00 , 800.00 , 1 002.33 , 280.67 , 970.00 , 278.06 , 278.06 , 500.00 , 280.67 , 89.33 , 278.06 , 287.27 , 275.57 , 287.27 , 279.43 , 279.43 , 287.27 , 279.43 , 280.67 , 275.57 , 275.57 , 2 845.33 
 30.00 , 42 008.88 , 1.00 , level_6 , 0.30 , 1.00 , 78.33 , 70.33 , 28.00 , -   , -   , 166.67 , 1.67 , 316.00 , -   , 1.00 , -   , sp25 , -   , -   , 1 028.67 , -   , -   , -   , -   , 800.00 , 800.00 , 1 033.33 , 800.00 , 1 013.00 , 277.53 , 970.00 , 275.13 , 275.13 , 500.00 , 277.53 , 89.67 , 275.13 , 286.00 , 272.42 , 286.00 , 276.58 , 276.58 , 286.00 , 276.58 , 277.53 , 272.42 , 272.42 , 2 350.00 
 31.00 , 42 009.00 , 1.00 , level_10 , 0.10 , 1.33 , 80.67 , 71.67 , 15.33 , -   , 14.67 , 159.67 , 1.67 , 311.67 , -   , 1.00 , -   , sp25 , -   , -   , 1 028.00 , -   , -   , -   , -   , 800.00 , 800.00 , 1 032.33 , 800.67 , 1 003.00 , 275.93 , 980.33 , 273.59 , 273.59 , 700.67 , 275.93 , 85.33 , 273.59 , 284.21 , 271.26 , 284.21 , 274.54 , 274.54 , 284.21 , 274.54 , 275.93 , 271.26 , 271.26 , 4 540.00 
 32.00 , 42 009.13 , 1.00 , level_10 , -   , 1.67 , 81.00 , 65.00 , 10.67 , -   , 60.00 , 165.67 , 1.00 , 337.00 , -   , 1.00 , -   , sp25 , -   , -   , 1 026.33 , -   , -   , -   , -   , 800.00 , 800.00 , 1 030.67 , 802.67 , 1 002.67 , 276.83 , 969.00 , 273.57 , 273.57 , 800.33 , 276.83 , 84.00 , 273.57 , 282.51 , 270.45 , 282.51 , 273.37 , 273.37 , 282.51 , 273.37 , 276.83 , 270.45 , 270.45 , 6 379.67 
 33.00 , 42 009.25 , 1.00 , level_10 , -   , 1.00 , 87.00 , 68.00 , 18.67 , -   , 92.00 , 170.33 , 1.00 , 337.00 , -   , 1.00 , -   , sp25 , -   , -   , 1 026.67 , -   , -   , -   , -   , 800.00 , 800.00 , 1 029.33 , 804.00 , 1 002.00 , 279.44 , 969.00 , 274.76 , 274.76 , 801.00 , 279.44 , 83.67 , 274.76 , 282.38 , 269.84 , 282.38 , 273.16 , 273.16 , 282.38 , 273.16 , 279.44 , 269.84 , 269.84 , 7 973.67 
 34.00 , 42 009.38 , 1.00 , level_9 , -   , 1.00 , 92.00 , 71.67 , 23.33 , 0.67 , 92.00 , 174.33 , 1.67 , 317.67 , 8.00 , 1.00 , -   , sp25 , -   , -   , 1 027.00 , -   , -   , -   , -   , 800.67 , 800.00 , 1 028.33 , 804.00 , 1 001.33 , 281.71 , 969.67 , 280.32 , 280.32 , 801.67 , 281.71 , 78.33 , 280.32 , 286.12 , 271.95 , 286.12 , 274.72 , 274.72 , 286.12 , 274.72 , 281.71 , 271.95 , 271.95 , 1 129.33 
 35.00 , 42 009.50 , 1.67 , level_7 , -   , 1.00 , 91.33 , 70.67 , 13.33 , 1.00 , 76.00 , 181.00 , 2.00 , 204.33 , -   , 2.00 , -   , sp25 , 0.10 , -   , 1 025.33 , -   , -   , -   , -   , 800.00 , 800.00 , 1 027.33 , 702.00 , 1 000.00 , 284.50 , 968.33 , 287.34 , 287.34 , 800.67 , 284.50 , 66.33 , 287.34 , 288.69 , 283.46 , 288.69 , 277.97 , 277.97 , 288.69 , 277.97 , 284.50 , 283.46 , 283.46 , 3 238.33 
 36.00 , 42 009.88 , 1.00 , level_6 , -   , 0.33 , 94.00 , 71.33 , 3.33 , 0.33 , 92.00 , 188.67 , 3.67 , 167.67 , -   , 1.00 , -   , sp25 , -   , -   , 1 023.33 , -   , -   , -   , -   , 800.00 , 801.33 , 1 026.00 , 804.00 , 997.67 , 283.03 , 965.67 , 275.48 , 275.48 , 800.00 , 283.03 , 90.00 , 275.48 , 285.32 , 270.61 , 285.32 , 273.74 , 273.74 , 285.32 , 273.74 , 283.03 , 270.61 , 270.61 , 5 385.00 
 37.00 , 42 010.00 , 1.00 , level_9 , -   , 1.00 , 95.33 , 67.00 , 7.33 , 0.33 , 68.00 , 196.67 , 2.67 , 190.00 , -   , 1.67 , -   , sp25 , -   , -   , 1 021.67 , -   , -   , -   , -   , 800.00 , 803.33 , 1 026.00 , 803.00 , 995.67 , 281.75 , 965.00 , 273.72 , 273.72 , 800.33 , 281.75 , 86.00 , 273.72 , 284.26 , 268.81 , 284.26 , 272.35 , 272.35 , 284.26 , 272.35 , 281.75 , 268.81 , 268.81 , 10 156.00 
 38.00 , 42 010.13 , 1.00 , level_9 , -   , 1.00 , 96.33 , 65.67 , 17.67 , 0.67 , 42.67 , 198.33 , 1.00 , 127.00 , 21.33 , 2.67 , -   , sp25 , -   , -   , 1 021.00 , -   , -   , -   , -   , 801.00 , 803.33 , 1 026.67 , 802.00 , 995.00 , 280.18 , 965.00 , 272.87 , 272.87 , 801.00 , 280.18 , 86.00 , 272.87 , 283.42 , 268.15 , 283.42 , 272.10 , 272.10 , 283.42 , 272.10 , 280.18 , 268.15 , 268.15 , 9 528.67 
 39.00 , 42 010.25 , 0.67 , level_9 , -   , 1.00 , 96.67 , 73.67 , 40.67 , 1.00 , 85.33 , 203.00 , 1.00 , 119.67 , 69.33 , 2.00 , -   , sp25 , -   , -   , 1 021.00 , -   , -   , -   , -   , 803.00 , 802.00 , 1 027.00 , 803.67 , 995.00 , 279.78 , 965.00 , 273.40 , 273.40 , 802.00 , 279.78 , 87.33 , 273.40 , 282.81 , 269.77 , 282.81 , 273.24 , 273.24 , 282.81 , 273.24 , 279.78 , 269.77 , 269.77 , 8 738.00 
 40.00 , 42 010.38 , -   , level_9 , -   , 1.00 , 96.00 , 87.00 , 58.00 , 1.00 , 80.00 , 207.33 , 1.67 , 169.00 , 80.00 , 2.00 , -   , sp25 , -   , -   , 1 022.00 , -   , -   , -   , -   , 803.00 , 802.00 , 1 027.33 , 803.00 , 995.00 , 280.55 , 965.00 , 278.92 , 278.92 , 802.67 , 280.55 , 82.67 , 278.92 , 286.29 , 273.45 , 286.29 , 276.25 , 276.25 , 286.29 , 276.25 , 280.55 , 273.45 , 273.45 , 14 337.00 
 41.00 , 42 010.50 , 1.00 , level_7 , -   , 0.67 , 91.00 , 88.00 , 51.33 , 1.00 , 28.00 , 179.00 , 1.00 , 157.00 , 28.00 , 2.00 , -   , sp25 , -   , -   , 1 021.00 , -   , -   , -   , -   , 801.67 , 800.67 , 1 027.33 , 801.67 , 994.33 , 283.59 , 965.00 , 286.40 , 286.40 , 802.33 , 283.59 , 66.00 , 286.40 , 286.95 , 278.59 , 286.95 , 279.84 , 279.84 , 286.95 , 279.84 , 283.59 , 278.59 , 278.59 , 15 028.33 
 42.00 , 42 010.63 , 1.00 , level_4 , -   , 0.33 , 90.00 , 85.33 , 37.67 , 0.33 , 58.00 , 119.00 , 0.67 , 111.33 , 12.00 , 1.33 , -   , sp25 , -   , -   , 1 021.00 , -   , -   , -   , -   , 800.67 , 800.00 , 1 027.33 , 802.67 , 994.67 , 282.72 , 964.00 , 283.24 , 283.24 , 802.33 , 282.72 , 79.00 , 283.24 , 286.60 , 276.95 , 286.60 , 280.67 , 280.67 , 286.60 , 280.67 , 282.72 , 276.95 , 276.95 , 14 496.00 
 43.00 , 42 010.75 , 1.00 , level_3 , -   , 1.00 , 90.33 , 80.33 , 44.33 , -   , 64.00 , 102.00 , 1.00 , 326.00 , 24.00 , 1.33 , -   , sp25 , -   , -   , 1 022.67 , -   , -   , -   , -   , 801.00 , 801.33 , 1 028.00 , 802.67 , 995.67 , 279.52 , 964.67 , 278.39 , 278.39 , 802.33 , 279.52 , 95.00 , 278.39 , 284.35 , 272.13 , 284.35 , 278.61 , 278.61 , 284.35 , 278.61 , 279.52 , 272.13 , 272.13 , 13 313.67 
 44.00 , 42 010.88 , 1.00 , level_7 , -   , 1.00 , 89.33 , 72.67 , 41.33 , 0.67 , 78.67 , 140.00 , 1.00 , 232.00 , 18.67 , 1.67 , -   , sp25 , -   , -   , 1 023.33 , -   , -   , -   , -   , 800.67 , 802.00 , 1 029.00 , 803.00 , 1 001.67 , 277.64 , 965.00 , 277.94 , 277.94 , 802.00 , 277.64 , 95.67 , 277.94 , 284.00 , 269.57 , 284.00 , 276.08 , 276.08 , 284.00 , 276.08 , 277.64 , 269.57 , 269.57 , 14 642.33 
 45.00 , 42 011.00 , 1.00 , level_10 , -   , 1.00 , 90.00 , 73.00 , 24.33 , 1.00 , 54.67 , 181.33 , 1.00 , 284.33 , 5.33 , 1.33 , -   , sp25 , -   , -   , 1 025.00 , -   , -   , -   , -   , 800.00 , 802.00 , 1 029.00 , 802.33 , 997.33 , 276.61 , 976.00 , 279.10 , 279.10 , 801.00 , 276.61 , 97.00 , 279.10 , 283.97 , 268.40 , 283.97 , 274.49 , 274.49 , 283.97 , 274.49 , 276.61 , 268.40 , 268.40 , 14 897.33 
 46.00 , 42 011.13 , 1.00 , level_10 , -   , 1.33 , 86.00 , 65.00 , 17.33 , 1.00 , 18.67 , 202.67 , 1.33 , 322.00 , -   , 2.00 , -   , sp25 , -   , -   , 1 025.00 , -   , -   , -   , -   , 800.00 , 802.00 , 1 030.00 , 801.33 , 998.00 , 276.10 , 966.00 , 279.41 , 279.41 , 801.00 , 276.10 , 98.00 , 279.41 , 284.29 , 267.63 , 284.29 , 273.47 , 273.47 , 284.29 , 273.47 , 276.10 , 267.63 , 267.63 , 12 249.33 
